2023-11-17 12:47:02,414 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\framework]
2023-11-17 12:47:56,396 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-11-17 12:47:56,397 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [3] milliseconds
2023-11-17 12:47:56,405 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths NSF] Id [8004] -- Next runtime: Sat Nov 18 00:00:00 IST 2023
2023-11-17 12:47:56,407 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-11-17 12:47:56,407 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuthNsfs] finished in [2] milliseconds
2023-11-17 12:47:56,415 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Extend expired Subscriptions] Id [8005] -- Next runtime: Sat Nov 18 00:00:00 IST 2023
2023-11-17 12:47:56,428 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runSubscriptionAutoReorders] finished in [13] milliseconds
2023-11-17 12:47:56,436 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [8003] -- Next runtime: Sat Nov 18 00:00:00 IST 2023
2023-11-17 12:47:56,439 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [2] milliseconds
2023-11-17 12:47:56,450 |OFBiz-JobQueue-0     |PersistedServiceJob           |W| Persisted Job [8500] references a RecurrenceInfo, recommend using TemporalExpression instead
2023-11-17 12:47:56,471 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Generate Invoice template] Id [8500] -- Next runtime: Thu Dec 14 22:00:00 IST 2023
2023-11-17 12:47:56,543 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoGenerateInvoiceFromExistingInvoice] finished in [64] milliseconds
2023-11-17 12:47:56,550 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [8006] -- Next runtime: Sat Nov 18 00:00:00 IST 2023
2023-11-17 12:47:56,609 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [59] milliseconds
2023-11-17 12:47:56,617 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Run Nominated Service on Subscription Expiry] Id [8010] -- Next runtime: Sat Nov 18 00:00:00 IST 2023
2023-11-17 12:47:56,622 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [5] milliseconds
2023-11-17 12:47:56,632 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Replacement Held Order Auto-Cancel] Id [12497] -- Next runtime: Sat Nov 18 00:00:00 IST 2023
2023-11-17 12:47:56,634 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoCancelReplacementOrders] finished in [2] milliseconds
2023-11-17 12:47:56,642 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Clear EntitySyncRemove Info] Id [12496] -- Next runtime: Sat Nov 18 00:00:00 IST 2023
2023-11-17 12:47:56,642 |OFBiz-JobQueue-0     |EntitySyncServices            |I| Running cleanSyncRemoveInfo
2023-11-17 12:47:56,645 |OFBiz-JobQueue-0     |EntitySyncServices            |I| In cleanSyncRemoveInfo removed [0] values with TX timestamp before [2023-11-16 12:47:56.644]
2023-11-17 12:47:56,645 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cleanSyncRemoveInfo] finished in [3] milliseconds
2023-11-17 12:47:56,653 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Delete auto-save shopping list for anonymous users] Id [12501] -- Next runtime: Sat Nov 18 00:00:00 IST 2023
2023-11-17 12:47:56,658 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/autoDeleteAutoSaveShoppingList] finished in [4] milliseconds
2023-11-17 12:47:56,665 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Run Auto-Reorders] Id [12494] -- Next runtime: Sat Nov 18 00:00:00 IST 2023
2023-11-17 12:47:56,670 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runShoppingListAutoReorder] finished in [5] milliseconds
2023-11-17 12:47:56,677 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Re-Try Failed Auths] Id [12499] -- Next runtime: Sat Nov 18 00:00:00 IST 2023
2023-11-17 12:47:56,679 |OFBiz-JobQueue-0     |PaymentGatewayServices        |I| Processing failed order re-auth(s)
2023-11-17 12:47:56,679 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/retryFailedAuths] finished in [2] milliseconds
2023-11-17 12:47:56,691 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Purge Old Store Auto-Entered Promos] Id [12495] -- Next runtime: Sat Nov 18 00:00:00 IST 2023
2023-11-17 12:47:56,694 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/purgeOldStoreAutoPromos] finished in [2] milliseconds
2023-11-17 12:47:56,702 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Create Also Bought Product Associations] Id [12492] -- Next runtime: Sat Nov 18 00:00:00 IST 2023
2023-11-17 12:47:56,707 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createAlsoBoughtProductAssocs] finished in [5] milliseconds
2023-11-17 12:47:56,714 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Cancels all orders after date] Id [12500] -- Next runtime: Sat Nov 18 00:00:00 IST 2023
2023-11-17 12:47:56,719 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/cancelAllBackOrders] finished in [4] milliseconds
2023-11-17 12:47:56,725 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [BackOrder Notification] Id [12498] -- Next runtime: Sat Nov 18 00:00:00 IST 2023
2023-11-17 12:47:56,727 |OFBiz-JobQueue-0     |InventoryServices             |I| OOS Inventory Items: 0
2023-11-17 12:47:56,728 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/checkInventoryAvailability] finished in [3] milliseconds
2023-11-17 12:47:56,735 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Run Nominated Service on Subscription Expiry] Id [12491] -- Next runtime: Sat Nov 18 00:00:00 IST 2023
2023-11-17 12:47:56,738 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/runServiceOnSubscriptionExpiry] finished in [2] milliseconds
2023-11-17 12:47:56,746 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Send Email] Id [12616] -- Next runtime: Fri Nov 17 13:02:56 IST 2023
2023-11-17 12:47:56,751 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/sendEmailDated] finished in [5] milliseconds
2023-11-17 12:47:56,759 |OFBiz-JobQueue-0     |PersistedServiceJob           |I| Job  [Auto-create Fixed Asset Maintenances] Id [12614] -- Next runtime: Fri Nov 17 13:47:56 IST 2023
2023-11-17 12:47:56,761 |OFBiz-JobQueue-0     |Log                           |I| [CommonPermissionServices.xml#genericBasePermissionCheck line 59] This simple-method-call is deprecated! Please use a service-call of genericBasePermissionCheck instead.
2023-11-17 12:47:56,765 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/genericBasePermissionCheck] finished in [3] milliseconds
2023-11-17 12:47:56,767 |OFBiz-JobQueue-0     |ServiceEcaCondition           |W| doRealCompare returned null, returning false
2023-11-17 12:47:56,767 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/fixedAssetPermissionCheck] finished in [8] milliseconds
2023-11-17 12:47:56,783 |OFBiz-JobQueue-0     |ServiceDispatcher             |T| Sync service [default/createMaintsFromTimeInterval] finished in [23] milliseconds
2023-11-17 12:47:57,698 |OFBiz-JobQueue-1     |ServiceDispatcher             |T| Sync service [default/createFuturePeriod] finished in [2310] milliseconds
2023-11-17 12:48:20,124 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11538
2023-11-17 12:48:20,126 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11524
2023-11-17 12:48:20,127 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 11525
2023-11-17 12:48:20,128 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11519
2023-11-17 12:48:20,129 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 11491
2023-11-17 12:48:20,130 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11492
2023-11-17 12:48:20,131 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 11494
2023-11-17 12:48:20,132 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11496
2023-11-17 12:48:20,133 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 11498
2023-11-17 12:48:20,134 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11501
2023-11-17 12:48:20,135 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 11502
2023-11-17 12:48:20,136 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11495
2023-11-17 12:48:20,137 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 11523
2023-11-17 12:48:20,137 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11500
2023-11-17 12:48:20,138 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 11493
2023-11-17 12:48:20,138 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11497
2023-11-17 12:48:20,140 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11540
2023-11-17 12:48:20,140 |OFBiz-JobQueue-1     |JobUtil                       |I| Purged job 11499
2023-11-17 12:48:20,141 |OFBiz-JobQueue-0     |JobUtil                       |I| Purged job 11539
2023-11-17 13:04:51,026 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\framework]
2023-11-17 13:04:51,260 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\themes]
2023-11-17 13:04:51,320 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\applications]
2023-11-17 13:04:51,462 |main                 |ComponentContainer            |I| Auto-Loading component directory : [D:\ofbiz\ofbiz-framework\plugins]
2023-11-17 13:04:51,693 |main                 |ComponentContainer            |I| All components loaded
2023-11-17 13:04:51,693 |main                 |ContainerLoader               |I| [Startup] Loading containers...
2023-11-17 13:04:51,694 |main                 |ContainerLoader               |I| Loading container: admin-container
2023-11-17 13:04:51,705 |main                 |ContainerLoader               |I| Loaded container: admin-container
2023-11-17 13:04:51,705 |main                 |ContainerLoader               |I| Loading container: delegator-container
2023-11-17 13:04:51,707 |main                 |ContainerLoader               |I| Loaded container: delegator-container
2023-11-17 13:04:51,707 |main                 |ContainerLoader               |I| Loading container: service-container
2023-11-17 13:04:51,710 |main                 |ContainerLoader               |I| Loaded container: service-container
2023-11-17 13:04:51,710 |main                 |ContainerLoader               |I| Loading container: catalina-container
2023-11-17 13:04:51,988 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set scheme=http
2023-11-17 13:04:51,992 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set secure=false
2023-11-17 13:04:51,998 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set URIEncoding=UTF-8
2023-11-17 13:04:51,999 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set xpoweredBy=false
2023-11-17 13:04:51,999 |main                 |CatalinaContainer             |I| Tomcat Connector["ajp-nio-127.0.0.1-8009"]: set secretRequired=false
2023-11-17 13:04:52,014 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: enabled HTTP/2
2023-11-17 13:04:52,014 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set scheme=http
2023-11-17 13:04:52,014 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set secure=false
2023-11-17 13:04:52,015 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set URIEncoding=UTF-8
2023-11-17 13:04:52,015 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set xpoweredBy=false
2023-11-17 13:04:52,015 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set compression=on
2023-11-17 13:04:52,016 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8080"]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2023-11-17 13:04:52,016 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: enabled HTTP/2
2023-11-17 13:04:52,017 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: set scheme=https
2023-11-17 13:04:52,017 |main                 |CatalinaContainer             |I| Tomcat Connector["http-nio-8443"]: set secure=true
2023-11-17 13:04:52,019 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set SSLEnabled=true
2023-11-17 13:04:52,019 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set URIEncoding=UTF-8
2023-11-17 13:04:52,020 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set xpoweredBy=false
2023-11-17 13:04:52,020 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set compression=on
2023-11-17 13:04:52,020 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set compressibleMimeType=text/html,text/xml,text/plain,text/css,application/javascript,application/json
2023-11-17 13:04:52,021 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"]: set sslImplementationName=org.apache.tomcat.util.net.jsse.JSSEImplementation
2023-11-17 13:04:52,031 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_: set keyManagerAlgorithm=SunX509
2023-11-17 13:04:52,035 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeystoreFile=framework/base/config/ofbizssl.jks
2023-11-17 13:04:52,036 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeystoreType=JKS
2023-11-17 13:04:52,036 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeyAlias=ofbiz
2023-11-17 13:04:52,036 |main                 |CatalinaContainer             |I| Tomcat Connector["https-jsse-nio-8443"] _default_ certificate: set certificateKeyPassword
2023-11-17 13:04:52,052 |main                 |CatalinaContainer             |I| Creating context [webpos]
2023-11-17 13:04:52,054 |main                 |CatalinaContainer             |I| Creating context [solr]
2023-11-17 13:04:52,055 |main                 |CatalinaContainer             |I| Creating context [scrumdemo]
2023-11-17 13:04:52,056 |main                 |CatalinaContainer             |I| Creating context [scrum]
2023-11-17 13:04:52,057 |main                 |CatalinaContainer             |I| Creating context [api-docs]
2023-11-17 13:04:52,057 |main                 |CatalinaContainer             |I| Creating context [rest-api]
2023-11-17 13:04:52,058 |main                 |CatalinaContainer             |I| Creating context [projectmgr]
2023-11-17 13:04:52,059 |main                 |CatalinaContainer             |I| Creating context [pricatdemo]
2023-11-17 13:04:52,059 |main                 |CatalinaContainer             |I| Creating context [pricat]
2023-11-17 13:04:52,059 |main                 |CatalinaContainer             |I| Creating context [prashuDemo]
2023-11-17 13:04:52,060 |main                 |CatalinaContainer             |I| Creating context [passport]
2023-11-17 13:04:52,060 |main                 |CatalinaContainer             |I| Creating context [ofbizDemo]
2023-11-17 13:04:52,061 |main                 |CatalinaContainer             |I| Creating context [myportal]
2023-11-17 13:04:52,061 |main                 |CatalinaContainer             |I| Creating context [multiflex]
2023-11-17 13:04:52,062 |main                 |CatalinaContainer             |I| Creating context [msggateway]
2023-11-17 13:04:52,063 |main                 |CatalinaContainer             |I| Creating context [content]
2023-11-17 13:04:52,063 |main                 |CatalinaContainer             |I| Creating context [firstdata]
2023-11-17 13:04:52,063 |main                 |CatalinaContainer             |I| Creating context [exampleext]
2023-11-17 13:04:52,065 |main                 |CatalinaContainer             |I| Creating context [example]
2023-11-17 13:04:52,065 |main                 |CatalinaContainer             |I| Creating context [ecomseo]
2023-11-17 13:04:52,065 |main                 |CatalinaContainer             |I| Creating context [ecommerce]
2023-11-17 13:04:52,066 |main                 |CatalinaContainer             |I| Creating context [ebay]
2023-11-17 13:04:52,066 |main                 |CatalinaContainer             |I| Creating context [cmssite]
2023-11-17 13:04:52,066 |main                 |CatalinaContainer             |I| Creating context [bi]
2023-11-17 13:04:52,067 |main                 |CatalinaContainer             |I| Creating context [ismgr]
2023-11-17 13:04:52,067 |main                 |CatalinaContainer             |I| Creating context [assetmaint]
2023-11-17 13:04:52,068 |main                 |CatalinaContainer             |I| Creating context [ordermgr-js]
2023-11-17 13:04:52,068 |main                 |CatalinaContainer             |I| Creating context [ofbizsetup]
2023-11-17 13:04:52,069 |main                 |CatalinaContainer             |I| Creating context [SalesForceAutomation]
2023-11-17 13:04:52,070 |main                 |CatalinaContainer             |I| Creating context [marketing]
2023-11-17 13:04:52,074 |main                 |CatalinaContainer             |I| Creating context [order]
2023-11-17 13:04:52,075 |main                 |CatalinaContainer             |I| Creating context [humanres]
2023-11-17 13:04:52,076 |main                 |CatalinaContainer             |I| Creating context [ap]
2023-11-17 13:04:52,078 |main                 |CatalinaContainer             |I| Creating context [ar]
2023-11-17 13:04:52,078 |main                 |CatalinaContainer             |I| Creating context [accounting]
2023-11-17 13:04:52,080 |main                 |CatalinaContainer             |I| Creating context [manufacturing]
2023-11-17 13:04:52,082 |main                 |CatalinaContainer             |I| Creating context [facility]
2023-11-17 13:04:52,085 |main                 |CatalinaContainer             |I| Creating context [catalog]
2023-11-17 13:04:52,087 |main                 |CatalinaContainer             |I| Creating context [ical]
2023-11-17 13:04:52,087 |main                 |CatalinaContainer             |I| Creating context [workeffort]
2023-11-17 13:04:52,089 |main                 |CatalinaContainer             |I| Creating context [contentimages]
2023-11-17 13:04:52,091 |main                 |CatalinaContainer             |I| Duplicate webapp mount (overridding); not loading : content / D:\ofbiz\ofbiz-framework\applications\content\webapp\content
2023-11-17 13:04:52,093 |main                 |CatalinaContainer             |I| Creating context [party]
2023-11-17 13:04:52,094 |main                 |CatalinaContainer             |I| Creating context [tomahawk]
2023-11-17 13:04:52,096 |main                 |CatalinaContainer             |I| Creating context [rainbowstone]
2023-11-17 13:04:52,096 |main                 |CatalinaContainer             |I| Creating context [helveticus]
2023-11-17 13:04:52,096 |main                 |CatalinaContainer             |I| Creating context [flatgrey]
2023-11-17 13:04:52,097 |main                 |CatalinaContainer             |I| Creating context [images]
2023-11-17 13:04:52,097 |main                 |CatalinaContainer             |I| Creating context [common-theme]
2023-11-17 13:04:52,098 |main                 |CatalinaContainer             |I| Creating context [bluelight]
2023-11-17 13:04:52,101 |main                 |CatalinaContainer             |I| Creating context [webtools]
2023-11-17 13:04:52,488 |catalina-startup-5   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/docs])
2023-11-17 13:04:52,488 |catalina-startup-7   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/scrum])
2023-11-17 13:04:52,488 |catalina-startup-3   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/solr])
2023-11-17 13:04:52,488 |catalina-startup-8   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/projectmgr])
2023-11-17 13:04:52,488 |catalina-startup-4   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/webpos])
2023-11-17 13:04:52,488 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/scrumdemo])
2023-11-17 13:04:52,488 |catalina-startup-6   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/rest])
2023-11-17 13:04:52,488 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/pricatdemo])
2023-11-17 13:04:52,571 |catalina-startup-8   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ofbizDemo])
2023-11-17 13:04:52,575 |catalina-startup-4   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/passport])
2023-11-17 13:04:52,577 |catalina-startup-7   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/pricat])
2023-11-17 13:04:52,593 |catalina-startup-3   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/myportal])
2023-11-17 13:04:52,640 |catalina-startup-6   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/msggateway])
2023-11-17 13:04:52,693 |catalina-startup-7   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/example])
2023-11-17 13:04:52,701 |catalina-startup-4   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/exampleext])
2023-11-17 13:04:52,712 |catalina-startup-3   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ecomseo])
2023-11-17 13:04:52,717 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/multiflex])
2023-11-17 13:04:52,722 |catalina-startup-8   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/firstdata])
2023-11-17 13:04:52,723 |catalina-startup-5   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/content])
2023-11-17 13:04:52,768 |catalina-startup-4   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/cmssite])
2023-11-17 13:04:52,782 |catalina-startup-7   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ebay])
2023-11-17 13:04:52,790 |catalina-startup-8   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/assetmaint])
2023-11-17 13:04:52,795 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/prashuDemo])
2023-11-17 13:04:52,804 |catalina-startup-3   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/bi])
2023-11-17 13:04:52,832 |catalina-startup-4   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ofbizsetup])
2023-11-17 13:04:52,853 |catalina-startup-6   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ecommerce])
2023-11-17 13:04:52,857 |catalina-startup-7   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/sfa])
2023-11-17 13:04:52,862 |catalina-startup-3   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/humanres])
2023-11-17 13:04:52,883 |catalina-startup-8   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/marketing])
2023-11-17 13:04:52,894 |catalina-startup-5   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ordermgr-js])
2023-11-17 13:04:52,906 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ismgr])
2023-11-17 13:04:52,916 |catalina-startup-4   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ap])
2023-11-17 13:04:52,941 |catalina-startup-3   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/manufacturing])
2023-11-17 13:04:52,944 |catalina-startup-8   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/facility])
2023-11-17 13:04:52,961 |catalina-startup-1   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/ordermgr])
2023-11-17 13:04:52,964 |catalina-startup-7   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/accounting])
2023-11-17 13:04:52,978 |catalina-startup-4   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/workeffort])
2023-11-17 13:04:52,993 |catalina-startup-2   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/iCalendar])
2023-11-17 13:04:53,024 |catalina-startup-7   |CatalinaContainer             |I| host[StandardEngine[default-server].StandardHost[0.0.0.0]].addChild(StandardEngine[default-server].StandardHost[0.0.0.0].StandardContext[/rainbowstone])
